company_name,Global score,C1 direct score,C2 complete score,c1_label,c1_color,c2_label,c2_color,global_score_label,global_score_pic
Associated British Foods (alim.),3,5,1,Bien moins de 2°C,8CDF41,Non publiée,820000,Insufficient,assets/frames/climate_score/Frame_Insufficient.png
Bel,4,3,5,Entre +2°C et +3°C,FF8939,Bien moins de 2°C,8CDF41,Partial,assets/frames/climate_score/Frame_Partial.png
Danone,6,6,5,"1,5°C",0DB800,Bien moins de 2°C,8CDF41,VeryStrong,assets/frames/climate_score/Frame_VeryStrong.png
Ecotone,5,6,1,"1,5°C",0DB800,Non publiée,820000,Strong,assets/frames/climate_score/Frame_Strong.png
Ferrero,2,2,2,Vers + 4°C,C00000,Vers + 4°C,C00000,TotallyInsufficient,assets/frames/climate_score/Frame_TotallyInsufficient.png
General Mills,5,6,4,"1,5°C",0DB800,2°C,FEC800,Strong,assets/frames/climate_score/Frame_Strong.png
Hero,4,3,1,Entre +2°C et +3°C,FF8939,Non publiée,820000,Partial,assets/frames/climate_score/Frame_Partial.png
Kellogg,4,6,3,"1,5°C",0DB800,Entre +2°C et +3°C,FF8939,Partial,assets/frames/climate_score/Frame_Partial.png
Mars,4,6,3,"1,5°C",0DB800,Entre +2°C et +3°C,FF8939,Partial,assets/frames/climate_score/Frame_Partial.png
Mondelez,3,5,99,Bien moins de 2°C,8CDF41,n.a. (trop récente),C00000,Insufficient,assets/frames/climate_score/Frame_Insufficient.png
Nestlé,4,6,3,"1,5°C",0DB800,Entre +2°C et +3°C,FF8939,Partial,assets/frames/climate_score/Frame_Partial.png
Pepsico,4,6,3,"1,5°C",0DB800,Entre +2°C et +3°C,FF8939,Partial,assets/frames/climate_score/Frame_Partial.png
